;--- THREAD.DAT, used in BF.LSP, Ref. p.11-1 in Handbook
;   d = dia.  p = pitch
;( dia p  )
( 1  0.25 )
( 2  0.4  )
( 3  0.5  )
( 4  0.7  )
( 5  0.8  )
( 6  1.0  )
( 7  1.0  )
( 8  1.25 )
( 9  1.25 )
(10  1.5  )
(11  1.5  )
(12  1.75 )
(14  2.0  )
(16  2.0  )
(18  2.5  )
(20  2.5  )
(22  2.5  )
(24  3.0  )
(27  3.0  )
(30  3.5  )
(33  3.5  )
(36  4.0  )
(39  4.0  )
(42  4.5  )
(45  4.5  )
(48  5.0  )
(52  5.0  )
(56  5.5  )
(60  5.5  )
(64  6.0  )
(68  6.0  )

